20727483,23007393
50329304,45197822
26199460,16690835
1177521,16017468
27960125,52502348
30440025,30122261
15833920,2238251
15015183,18575122
33153097,49186162
21250581,52060818
28548532,52086377
42860945,18728154
22171728,15208271
15254388,16135160
44713775,30935202
44868770,48489766
16350915,17644858
33650477,34052554
56847735,55954366
18056455,15766392
32831346,755452
56969867,6813672
73483,780857
24981801,14812346
25726723,849091
59109778,48601242
18381650,780487
8467712,780857
29781057,5430872
37886317,1206631
39357186,51537226
42520611,17906749
28471398,1006091
1288371,738933
44112249,755452
29088897,755452
15568898,618593
25038085,780857
14075928,973421
96,2065841
31835375,973421
22480457,973421
27104736,7589332
22687463,780487
27576832,738933
108,10960
35792763,843631
21373148,843631
15234546,69
14379717,702653
42744015,1490851
16927373,960151
16727535,12120032
51520097,684463
15078404,937961
14199173,772959
4517721,684463
17323985,706693
18218033,2120381
21828142,738933
52674447,772959
15285305,3293
45827167,977111
50826077,981121
54064328,6784202
6941,29622390
33586608,960151
204,69
22716284,706693
34386420,796389
36187082,783963
31239408,53100288
40316879,16348642
10667662,3200
46517052,42786350
24523660,15997285
14521821,27502926
18548221,17969406
41496166,7497
27104314,69
27654423,3293
1685871,9079
23184686,14308945
23994973,20661714
60312372,304
8610562,4144
38978212,44743
19740592,30418899
18803424,39108249
30395784,37292798
35908081,742393
21156271,20661714
20530182,14265796
23378124,19685275
29830423,37292798
44304625,44743
28830907,5059411
31180323,4809381
17998925,27502926
46822485,4247
