3600312,2085166
2677094,2032129
2038005,1636427
3301167,3905921
704219,230114
1779962,4128587
2681401,1955231
2277366,2553918
1649130,2312208
806220,2911889
3783689,985669
3979771,779424
2878950,2306323
1316789,2243803
4099483,1658772
2654216,3773938
3520283,3062840
320529,554194
460890,1480610
2861567,3813613
1676721,2690641
3582851,722249
2025534,3261581
1897682,3440897
3042164,2414588
683461,1518324
484783,2899178
2964318,2682489
825304,3204518
2303395,3566563
3029190,146755
2119218,1518324
341236,3543658
3921645,3204518
3350720,905332
1382338,2899178
2497566,3566563
2293317,627812
1365818,3459611
3108349,722249
1039487,9697
656628,3566563
326459,905332
3486463,2359068
1513849,234027
3120768,4043692
3254104,3240312
2859677,3204518
4100533,1804557
1214662,3735215
2844418,3267028
3228461,9697
2971789,738465
838862,2789920
3242202,833438
231946,905332
103480,1631805
745855,1915576
2202837,234027
121973,3333833
2944986,2016320
3916778,738465
1237877,1882653
2404335,141579
3903782,1537342
3753107,3827402
2638320,2734109
3532534,2711287
3026267,1015403
149529,722249
2522099,4189799
1565761,3267229
1345848,2287396
1059426,3973176
2994540,3633805
1629629,1585936
1481421,1017679
337894,2129258
2706001,642623
342515,1015403
2301230,1015403
3455722,1585936
4103891,1186936
2560844,1110305
316796,3964608
3853684,1364160
2803721,968231
2782143,3410776
4168065,2121775
1297201,4031610
2982970,1419589
1089600,2556879
3589606,366017
1978189,2013123
514482,1140644
773765,3742546
1929789,366017
2499474,246920
1367644,2743313
3052548,2329085
